"loan_id","application_id","loan_status","amount_paid","missed_payments"
701,101,"paid off",7081.00,0
702,102,"paid off",12349.50,0
703,103,"paid off",18230.00,0
704,104,"current",3450.00,0
705,105,"paid off",9058.00,0
706,106,"paid off",24659.35,0
707,107,"current",11200.00,0
708,108,"paid off",6500.00,0
709,109,"current",8900.50,1
710,110,"paid off",15400.00,0
711,111,"defaulted",1200.00,9
712,112,"paid off",21000.00,0
713,113,"current",14250.00,0
714,114,"defaulted",0.00,12
715,115,"paid off",5400.00,0
716,116,"defaulted",450.00,8
717,117,"current",19800.00,0
718,118,"paid off",32000.00,0
719,119,"defaulted",2100.00,7
720,120,"paid off",7800.00,0
721,121,"current",11500.00,0
722,122,"defaulted",1100.00,10
723,123,"paid off",14300.00,0
724,124,"defaulted",0.00,11
725,125,"current",22500.00,0
726,126,"paid off",9600.00,0
727,127,"current",16700.00,2
728,128,"paid off",13400.00,0
729,129,"defaulted",3400.00,6
730,130,"defaulted",800.00,9
731,131,"paid off",27500.00,0
732,132,"defaulted",0.00,14
733,133,"current",18900.00,0
734,134,"paid off",5200.00,0
735,135,"current",12100.00,0
736,136,"defaulted",1500.00,8
737,137,"paid off",23000.00,0
738,138,"defaulted",0.00,10
739,139,"current",14600.00,1
740,140,"paid off",8900.00,0
741,141,"defaulted",2900.00,7
742,142,"defaulted",1200.00,9
743,143,"defaulted",0.00,12
744,144,"paid off",17500.00,0
745,145,"current",4123.59,0
746,146,"paid off",31000.00,0
747,147,"defaulted",4300.00,6
748,148,"defaulted",950.00,8
749,149,"defaulted",0.00,13
750,150,"paid off",11800.00,0
751,151,"current",15900.00,0
752,152,"paid off",26000.00,0
753,153,"defaulted",1800.00,9
754,154,"defaulted",0.00,11
755,155,"paid off",13700.00,0
756,156,"current",20400.00,0
757,157,"paid off",7200.00,0
758,158,"defaulted",3100.00,7
759,159,"defaulted",1400.00,8
760,160,"paid off",28500.00,0
761,161,"current",16300.00,1
762,162,"defaulted",0.00,10
